127.0.0.1 - - [01/Mar/2020:21:56:29 -0600] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:31 -0600] "GET /Into/quiz HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:31 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:47 -0600] "GET /Into/quiz?answer=9 HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:47 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:55 -0600] "GET /Into/quiz?answer=5 HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:56:55 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:57:01 -0600] "GET /Into/quiz?answer=5 HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:57:01 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:57:02 -0600] "GET /Into/quiz?answer=5 HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:57:02 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [01/Mar/2020:21:57:03 -0600] "GET /Into/resources/style.css HTTP/1.1" 404 741
